"IMXCODE","INKCODE","WEIGHT","REGDATE","REGUSER","EDITDATE","EDITUSER"
"DS206A","020220014","46","2019/03/15 09:13:12","0114",\N,\N
"DS206A","020220025","3500","2019/03/15 09:13:12","0114",\N,\N
"DS207","020220008","36","2019/04/08 11:23:12","0114",\N,\N
"DS207","020220009","5","2019/04/08 11:23:12","0114",\N,\N
"DS207","020220014","9","2019/04/08 11:23:12","0114",\N,\N
"DS207","020220016","49","2019/04/08 11:23:12","0114",\N,\N
"DS207","020220025","1000","2019/04/08 11:23:12","0114",\N,\N
"DS207A","020220008","72","2019/06/28 14:12:28","0114",\N,\N
"DS207A","020220009","14","2019/06/28 14:12:28","0114",\N,\N
"DS207A","020220014","18","2019/06/28 14:12:28","0114",\N,\N
"DS207A","020220015","4","2019/06/28 14:12:28","0114",\N,\N
"DS207A","020220016","92","2019/06/28 14:12:28","0114",\N,\N
"DS207A","020220025","3000","2019/06/28 14:12:28","0114",\N,\N
"DS208","020220009","510","2018/04/23 11:22:24","00030201",\N,\N
"DS208","020220014","250","2018/04/23 11:22:24","00030201",\N,\N
"DS208","020220016","300","2018/04/23 11:22:24","00030201",\N,\N
"DS208A","020120002","130","2019/07/30 11:41:13","0114",\N,\N
"DS208A","020120007","12","2019/07/30 11:41:13","0114",\N,\N
"DS208A","020120014","600","2019/07/30 11:41:13","0114",\N,\N
"DS208A","020120021","700","2019/07/30 11:41:13","0114",\N,\N
"DS2105","020120002","10","2020/03/03 09:02:32","0114",\N,\N
"DS2105","020120014","300","2020/03/03 09:02:32","0114",\N,\N
"DS2105","020120022","1000","2020/03/03 09:02:32","0114",\N,\N
"DS211","020220014","500","2019/04/30 14:34:41","0114",\N,\N
"DS211","020220016","3500","2019/04/30 14:34:41","0114",\N,\N
"DS212","020120002","8","2019/05/27 15:15:03","0114",\N,\N
"DS212","020120015","20","2019/05/27 15:15:03","0114",\N,\N
"DS212","020120021","25","2019/05/27 15:15:03","0114",\N,\N
"DS212","020120037","1000","2019/05/27 15:15:03","0114",\N,\N
"DS213","020220008","3000","2019/09/04 17:21:11","0114",\N,\N
"DS213","020220014","1000","2019/09/04 17:21:11","0114",\N,\N
"DS213A","020220009","100","2019/09/23 17:20:02","0114",\N,\N
"DS213A","020220014","2000","2019/09/23 17:20:02","0114",\N,\N
"DS213A","020220015","170","2019/09/23 17:20:02","0114",\N,\N
"DS213A","020220016","60","2019/09/23 17:20:02","0114",\N,\N
"DS213A","020220025","250","2019/09/23 17:20:02","0114",\N,\N
"DS214","020220008","1000","2019/09/04 17:20:46","0114",\N,\N
"DS214","020220009","10","2019/09/04 17:20:46","0114",\N,\N
"DS214","020220014","1000","2019/09/04 17:20:46","0114",\N,\N
"DS2140","020120002","680","2019/05/14 10:11:03","0114",\N,\N
"DS2140","020120019","2000","2019/05/14 10:11:03","0114",\N,\N
"DS2140","020120027","1400","2019/05/14 10:11:03","0114",\N,\N
"DS2141","020220008","50","2020/10/20 08:41:44","0114",\N,\N
"DS2141","020220009","8","2020/10/20 08:41:45","0114",\N,\N
"DS2141","020220014","23","2020/10/20 08:41:45","0114",\N,\N
"DS2141","020220015","160","2020/10/20 08:41:45","0114",\N,\N
"DS2141","020220056","2000","2020/10/20 08:41:44","0114",\N,\N
"DS214A","020220008","1400","2019/09/20 13:39:18","0114",\N,\N
